brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DFF180E1BSS-Energyguide-Energuide.pdf,,DFF180E1BSS,,Apartment Size Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Energy Guide,https://www.danby.com/products/apartment-size-refrigerators/dff180e1bss/
Danby,,https://www.danby.com/products/apartment-size-refrigerators/dff180e1bss/?o=pdf,,DFF180E1BSS,,Apartment Size Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Product Specifications,https://www.danby.com/products/apartment-size-refrigerators/dff180e1bss/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DAR016A1BDB_DAR016A1BSLDB_EFSOM_20200331-1.pdf,,DAR016A1BSLDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Owner's Manual,https://www.danby.com/products/compact-refrigerators/dar016a1bsldb/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DAR016A1BDB-DAR016A1BSLDB-Energy-Card-1.pdf,,DAR016A1BSLDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Energy Guide,https://www.danby.com/products/compact-refrigerators/dar016a1bsldb/
Danby,,https://www.danby.com/products/compact-refrigerators/dar016a1bsldb/?o=pdf,,DAR016A1BSLDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Product Specifications,https://www.danby.com/products/compact-refrigerators/dar016a1bsldb/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DAR023C1BDB_DAR023C1BSLDB_EFSOM_20200514.pdf,,DAR023C1BDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Owner's Manual,https://www.danby.com/products/compact-refrigerators/dar023c1bdb/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DAR023C1BDB、DAR023C1BSLDBE-star-Enengy-card201805.pdf,,DAR023C1BDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Energy Guide,https://www.danby.com/products/compact-refrigerators/dar023c1bdb/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DAR016A1BDB_DAR016A1BSLDB_EFSOM_20200331.pdf,,DAR016A1BDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Owner's Manual,https://www.danby.com/products/compact-refrigerators/dar016a1bdb/
Danby,,https://www.danby.com/products/compact-refrigerators/dar023c1bdb/?o=pdf,,DAR023C1BDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Product Specifications,https://www.danby.com/products/compact-refrigerators/dar023c1bdb/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DAR016A1BDB-DAR016A1BSLDB-Energy-Card.pdf,,DAR016A1BDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Energy Guide,https://www.danby.com/products/compact-refrigerators/dar016a1bdb/
Danby,,https://www.danby.com/products/compact-refrigerators/dar016a1bdb/?o=pdf,,DAR016A1BDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Product Specifications,https://www.danby.com/products/compact-refrigerators/dar016a1bdb/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DBC045L1SS_EFSOM_20200302.pdf,,DBC045L1SS,,Beverage Center,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2020/07/Web-1_DBC045L1SS_Front-606x927.jpg,Owner's Manual,https://www.danby.com/products/entertaining/dbc045l1ss/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DBC045L1SS-Energy-card-1.pdf,,DBC045L1SS,,Beverage Center,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2020/07/Web-1_DBC045L1SS_Front-606x927.jpg,Energy Guide,https://www.danby.com/products/entertaining/dbc045l1ss/
Danby,,https://www.danby.com/products/entertaining/dbc045l1ss/?o=pdf,,DBC045L1SS,,Beverage Center,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2020/07/Web-1_DBC045L1SS_Front-606x927.jpg,Product Specifications,https://www.danby.com/products/entertaining/dbc045l1ss/
Danby,,https://www.danby.com/wp-content/uploads/2019/10/DDR030EBWDB_DDR040EBWDB_DDR050EBWDB_EFSOM_20190913.pdf,,DDR030EBWDB,,Dehumidifiers,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2020/07/DDR030EBWDB_Right-606x766.jpg,Owner's Manual,https://www.danby.com/products/dehumidifiers/ddr030ebwdb/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/Dehumidifiers_QuickStart_EB-Series.pdf,,DDR030EBWDB,,Dehumidifiers,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2020/07/DDR030EBWDB_Right-606x766.jpg,Setup Guide,https://www.danby.com/products/dehumidifiers/ddr030ebwdb/
Danby,,https://www.danby.com/products/dehumidifiers/ddr030ebwdb/?o=pdf,,DDR030EBWDB,,Dehumidifiers,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2020/07/DDR030EBWDB_Right-606x766.jpg,Product Specifications,https://www.danby.com/products/dehumidifiers/ddr030ebwdb/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DCR041C1BSLDB-6_EFSOM_20200514.pdf,,DCR041C1BSLDB-6,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2020/07/DCR041C1BSLDB-6_Left_JPEG-606x1003.jpg,Owner's Manual,https://www.danby.com/products/compact-refrigerators/dcr041c1bsldb-6/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DAR023C1BDB_DAR023C1BSLDB_EFSOM_20200514.pdf,,DAR023C1BSLDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Owner's Manual,https://www.danby.com/products/compact-refrigerators/dar023c1bsldb/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DCR041C1BSLDB-6_Energy_Label.pdf,,DCR041C1BSLDB-6,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2020/07/DCR041C1BSLDB-6_Left_JPEG-606x1003.jpg,Energy Guide,https://www.danby.com/products/compact-refrigerators/dcr041c1bsldb-6/
Danby,,https://www.danby.com/wp-content/uploads/2020/07/DAR023C1BDB、DAR023C1BSLDBE-star-Enengy-card201805.pdf,,DAR023C1BSLDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Energy Guide,https://www.danby.com/products/compact-refrigerators/dar023c1bsldb/
Danby,,https://www.danby.com/products/compact-refrigerators/dcr041c1bsldb-6/?o=pdf,,DCR041C1BSLDB-6,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2020/07/DCR041C1BSLDB-6_Left_JPEG-606x1003.jpg,Product Specifications,https://www.danby.com/products/compact-refrigerators/dcr041c1bsldb-6/
Danby,,https://www.danby.com/products/compact-refrigerators/dar023c1bsldb/?o=pdf,,DAR023C1BSLDB,,Compact Refrigerators,en,Refrigeration,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Product Specifications,https://www.danby.com/products/compact-refrigerators/dar023c1bsldb/
Danby,,https://www.danby.com/products/dehumidifiers/ddr050eacwdb/?o=pdf,,DDR050EACWDB,,Dehumidifiers,en,Climate Control,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Product Specifications,https://www.danby.com/products/dehumidifiers/ddr050eacwdb/
Danby,,https://www.danby.com/wp-content/uploads/2018/04/DUFM085A4WDD_DUFM085A4WDD-3_DUFM085A4WDD-6_DUFM085A4BSLDD_DUFM085A4BSLDD-6_EFSOM_20200813.pdf,,DUFM085A4WDD-6,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2016/05/DUFM085A2WDD1_Front_Propped-606x903.jpg,Owner's Manual,https://www.danby.com/products/freezers/dufm085a4wdd-6/
Danby,,https://www.danby.com/wp-content/uploads/2018/04/DUFM085A4WDD-WDD-3-WDD-6-BSLDD-Energy-Card-1-1.pdf,,DUFM085A4WDD-6,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2016/05/DUFM085A2WDD1_Front_Propped-606x903.jpg,Energy Guide,https://www.danby.com/products/freezers/dufm085a4wdd-6/
