brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Danby,,https://www.danby.com/wp-content/uploads/2016/04/DWC172BL_EFSOM_20180626.pdf,,Designer 17 Bottle Wine Cooler,,Entertaining,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/Large_DWC172BL4-606x758.jpg,Owner's Manual,https://www.danby.com/en-us/products/entertaining-en-us/dwc172bl/
Danby,,https://www.danby.com/wp-content/uploads/2015/10/Energuid_DWC172BL_01082020-1.pdf,,Designer 17 Bottle Wine Cooler,,Entertaining,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/Large_DWC172BL4-606x758.jpg,Energy Guide,https://www.danby.com/en-us/products/entertaining-en-us/dwc172bl/
Danby,,https://www.danby.com/en-us/products/entertaining-en-us/dwc172bl/?o=pdf,,Designer 17 Bottle Wine Cooler,,Entertaining,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/Large_DWC172BL4-606x758.jpg,Product Specifications,https://www.danby.com/en-us/products/entertaining-en-us/dwc172bl/
Danby,,https://www.danby.com/fr/products/refrigeration-compact/scr050bl/?o=pdf,,Simplicity Réfrigération Compact,,Reigeration Compact,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/refrigeration-compact/scr050bl/
Danby,,https://www.danby.com/wp-content/uploads/2016/04/DWC1233BL-SC_EFOM_web.pdf,,Maitre'D 12  Wine Cooler,,Entertaining,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc1233.jpg,Owner's Manual,https://www.danby.com/en-us/products/entertaining-en-us/dwc1233bl-sc/
Danby,,https://www.danby.com/en-us/products/entertaining-en-us/dwc1233bl-sc/?o=pdf,,Maitre'D 12  Wine Cooler,,Entertaining,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc1233.jpg,Product Specifications,https://www.danby.com/en-us/products/entertaining-en-us/dwc1233bl-sc/
Danby,,https://www.danby.com/fr/products/climatiseurs-de-fenetre/dcr033a2bdb/?o=pdf,,3.3 pi3 Réfrigération Compact Climatiseurs de fenêtre,,Climatiseurs De Fenetre,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/climatiseurs-de-fenetre/dcr033a2bdb/
Danby,,https://www.danby.com/en-us/products/freezers-en-us/dufm082a1wdd/?o=pdf,,Designer 8.2 cu. ft. Freezer,,Freezers,en,,danby.com,https://www.danby.com/wp-content/uploads/2016/04/Large_DUFM082A1WDD_insetting4-606x758.jpg,Product Specifications,https://www.danby.com/en-us/products/freezers-en-us/dufm082a1wdd/
Danby,,https://www.danby.com/fr/products/refrigeration-compact/scr432bl/?o=pdf,,Simplicity Réfrigération Compact,,Reigeration Compact,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/refrigeration-compact/scr432bl/
Danby,,https://www.danby.com/fr/products/refrigeration-compact/dcrm48sldd/?o=pdf,,Designer 1.7 pi3 Réfrigération Compact,,Reigeration Compact,,,danby.com,https://www.danby.com/wp-content/themes/danby/images/no-image-available.png,Caractéristiques du produit,https://www.danby.com/fr/products/refrigeration-compact/dcrm48sldd/
